Principe actif;Classe;Galénique;Galéniques alternatives;Préparation;Goût;Administration du médicament modifié;Informations;Sources;Autres sources;Réponses des laboratoires;Date
DUTASTERIDE 0,5 mg (Avodart);Inhibiteurs de la 5?-réductase;Capsule molle;Non;Ne pas ouvrir;;;PA irritant pour la muqueuse oropharyngée. Ne pas faire manipuler par une femme enceinte.;RCP;;;18/04/2023
DYDROGESTERONE 10 mg (Duphaston);Dérivés pregnadiène;Comprimé;Non;Ne pas écraser ni croquer;;Prise possible avec de l’eau<br>Prise immédiate après préparation<br>;A prendre de préférence à heure fixe.;RCP;;Viatris 17-02-2023 : cf. RCP;18/04/2023
EFAVIRENZ / EMTRICITABINE / TENOFOVIR 600/200/245 mg (génériques);Antiviraux pour le traitement des infections au VIH en association;Comprimé;Efavirenz gélule ouvrable, Emtricitabine granulés et Tenofovir solution buvable;Ne pas écraser ni croquer;;;A prendre en dehors des repas et de préférence le soir pour améliorer la tolérance.;RCP;;;18/04/2023
EFAVIRENZ 50, 100 et 200 mg (Sustiva);Inhibiteurs de la transcriptase inverse non nucléosidique;Gélule;Non;Ouverture possible;;Prise possible avec de la compote<br>Prise possible avec un yaourt<br>;A prendre en dehors des repas et de préférence le soir pour améliorer la tolérance. Peut être administré immédiatement dans une petite quantité de nourriture (1-2 cuillères à café). Ne pas manger pendant ? 2 heures après. ;RCP;;;18/04/2023
EFAVIRENZ 600 mg (génériques);Inhibiteurs de la transcriptase inverse non nucléosidique;Comprimé;Gélules ouvrables;Ne pas écraser ni croquer;;;A prendre en dehors des repas et de préférence le soir pour améliorer la tolérance.;Notice patient;;;18/04/2023
ELETRIPTAN 20 et 40 mg (Relpax);Agonistes sélectifs des récepteurs 5-HT1;Comprimé;Non;Ne pas écraser ni croquer;;;A prendre pendant la crise de migraine uniquement, de préférence le plus tôt possible.;RCP;;;18/04/2023
ELTROMBOPAG 25, 50 et 75 mg (Revolade);Autres hémostatiques systémiques;Comprimé;Poudre pour suspension buvable;Ne pas écraser ni croquer;;;Ne pas consommer ? 4h avant ou ? 2h après la prise d'Eltrombopag de lait et produits laitiers, d'antiacides ni de compléments minéreaux (fer, calcium, magnésium, zinc, sélénium, aluminium…).;Notice patient;Ecrasable selon HUG 03/2023;Novartis 16-03-2022 : cf. RCP;18/04/2023
EMPAGLIFLOZINE 10 et 25 mg (Jardiance);"
Inhibiteurs du cotransporteur sodium-glucose de type 2 (SGLT2)
";Comprimé;Non;Ne pas écraser ni croquer;;;A prendre avec ou sans aliments, avalés entiers avec de l’eau. ;Réponse laboratoire;Ecrasable selon HUG 03/2023;Lilly 27/11/2023 : écrasement déconseillé car pas d'étude;18/04/2023
EMTRICITABINE / RILPIVIRINE / TENOFOVIR 200/25/245 mg (Eviplera);Antiviraux pour le traitement des infections au VIH en association;Comprimé;Non;Ne pas écraser ni croquer;;;A prendre pendant les repas. Eviter le jus de pamplemousse.;Réponse laboratoire;;Gilead 02-03-2022 : écrasement et fractionnement déconseillés car pas d'étude.;18/04/2023
EMTRICITABINE / TENOFOVIR 200/245 mg (Truvada);Antiviraux pour le traitement des infections au VIH en association;Comprimé;Solution buvable de Ténofovir et granulés d'Emtricitabine;Écrasement possible;;Prise possible avec de l’eau<br>Prise possible avec un jus d’orange<br>Prise immédiate après préparation<br>;A prendre de préférence pendant les repas. Peut être écrasé ou délité dans un verre d'eau, de jus d'orange ou de raisin. Administration immédiate.;Notice patient;;;18/04/2023
EMTRICITABINE 200 mg (Emtriva);Inhibiteurs de la transcriptase inverse nucléosidique et nucléotidique;Gélule;"Solution buvable
? Adaptation posologique ?";Ne pas ouvrir;;;La prise d'une gélule de 200 mg équivaut à la prise de 240 mg via la solution buvable.;RCP;Ouvrable selon HUG 03/2023;;18/04/2023
ENALAPRIL / HYDROCHLOROTHIAZIDE 20/12,5 mg (Co-Renitec);Inhibiteurs de l'enzyme de conversion de l'angiotensine et diurétiques;Comprimé;Non;?;;;;;;En attente (Organon);18/04/2023
ENALAPRIL 5 et 20 mg (Renitec);Inhibiteurs de l'enzyme de conversion de l'angiotensine sans association;Comprimé sécable;Non;?;;;;;;En attente (Organon);18/04/2023
ENTACAPONE 200 mg (Comtan);Autres dopaminergiques;Comprimé;Non;Écrasement possible;Goût désagréable;;;Notice patient;Ecrasable selon HUG 03/2023;"Centre Spécialités Pharmaceutiques 13-09-2022 : At occasional need COMTAN may be crushed for immediate administration via a nasogastric or PEG tube, and the tube rinsed thereafter. 
It is also possible to dissolve it in e.g. apple juice for an occasional need of immediate administration via tube. [,,,] Patients should not chew and crush COMTAN tablets in their mouth due to a likely discoloration of mouth and teeth. ";18/04/2023
ENTECAVIR 0,5 et 1 mg (Baraclude);Inhibiteurs de la transcriptase inverse nucléosidique et nucléotidique;Comprimé;Solution buvable;Ne pas écraser ni croquer;;;Peut nécessiter d'être pris à jeun (? 2h à distance des repas) dans les formes compliquées d'hépatite.;RCP;Ecrasable selon HUG 03/2023;Bristol Myers Squibb 28-02-2022 : cf. RCP;18/04/2023
EPLERENONE 25 et 50 mg (Inspra);Antagonistes de l'aldostérone;Comprimé;Non;Ne pas écraser ni croquer;;;Eviter le jus de pamplemousse.;Thériaque 03/2023;Ecrasable selon HUG 03/2023;En attente (Viatris);18/04/2023
ERLOTINIB 25, 100 et 150 mg (Tarceva);Inhibiteurs de protéine kinase;Comprimé;Non;Ne pas écraser ni croquer;;;A prendre ? 1h avant ou ? 2h après les repas. Eviter le jus de pamplemousse.;Réponse laboratoire;Ecrasable selon HUG 03/2023;Roche 21-02-2022 : écrasement déconseillé car pas d'étude;18/04/2023
ESCITALOPRAM 5, 10, 15 et 20 mg (Seroplex);Inhibiteurs sélectifs de la recapture de la sérotonine (ISRS);Comprimé ou comprimé sécable;Solution buvable en gouttes;Ne pas écraser ni croquer;Goût désagréable;;;Notice patient;;;18/04/2023
ESLICARBAZEPINE 800mg;Dérivés des carboxamides;Comprimé;Non;Écrasement possible;;Prise possible avec de l’eau<br>Prise possible avec de la compote<br>;Peut être écrasé et mélangé à de l'eau ou à des aliments semi-liquides, tels que de la compote de pommes, juste avant leur administration par voie orale;RCP;;;26/06/2024
ESOMEPRAZOLE 20 et 40 mg (Inexium);Inhibiteurs de la pompe à protons;Comprimé GR;Granulés GR;Délitement possible;;Prise possible avec de l’eau<br>;Peut être dissout sans l'écraser dans ½ verre d'eau plate et administré dans un délai de 30 min. Ne pas utiliser d'autre liquide pour ne pas dissoudre l'enrobage entérique.;RCP;;;18/04/2023
ESOMEPRAZOLE 20 et 40 mg (génériques);Inhibiteurs de la pompe à protons;Gélule GR;Granulés GR;Ouverture possible, ne pas écraser ni croquer;;Prise possible avec de l’eau<br>;Peut être vidé dans ½ verre d'eau plate et administré dans un délai de 30 min. Ne pas utiliser d'autre liquide pour ne pas dissoudre l'enrobage entérique.;RCP;;;18/04/2023
ESTERS ETHYLIQUES 90 D'ACIDES OMEGA-3 1000 mg (Omacor);Autres agents réduisant les lipides sériques;Capsule molle;Non;Ne pas ouvrir;;;A prendre de préférence pendant les repas.;Réponse laboratoire;;Pierre Fabre 21-02-2022 : risque d'oxydation à l'air de l'huile si ouverture;18/04/2023
ESTRAMUSTINE 140 mg (Estracyt);Autres antinéoplasiques;Gélule;Non;Ne pas ouvrir;;;A prendre ? 1h avant ou ? 2h après les repas. PA irritant et cytotoxique.;RCP;;;18/04/2023
ETAMSYLATE 250 et 500 mg (Dicynone);Autres hémostatiques systémiques;Comprimé;Solution injectable par voie orale diluée dans ½ verre d'eau;Ne pas écraser ni croquer;;;;RCP;;;18/04/2023
ETHAMBUTOL 500 mg (Dexambutol);Autres antituberculeux;Comprimé;Non;Écrasement possible;;Prise possible avec de l’eau<br>Prise possible avec un jus d’orange<br>Prise possible avec du lait<br>Prise possible avec de la compote<br>Prise possible avec un yaourt<br>;Mélangeable à l'alimentation ou une boisson.;RCP;;;18/04/2023
ETIFOXINE 50 mg (Stresam);Autres anxiolytiques;Gélule;Non;Ouverture possible;;Prise possible avec de l’eau<br>Prise possible avec un jus d’orange<br>Prise possible avec du lait<br>Prise possible avec de la compote<br>Prise possible avec un yaourt<br>;;Réponse laboratoire;;Biocodex 09/04/2024 : Possibilité d'ouvrir les gélules. L'enveloppe sert à masquer le goût probablement amer du PA. ;11/04/2024
ETILEFRINE 5 mg (Effortil);Adrénergiques et dopaminergiques;Comprimé;Solution buvable en gouttes;Ne pas écraser ni croquer;;;;Réponse laboratoire;;Serb 22-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
ETOPOSIDE 50 mg (Celltop);Dérivés de la podophyllotoxine;Capsule molle;Non;Ne pas ouvrir;;;A prendre à jeun.;Notice patient;;En attente (Baxter);18/04/2023
"EVEROLIMUS 0,5 ; 0,75 ; 2,5 ; 5 et 10 mg (Votubia, Certican, Afinitor)";Immunosuppresseurs sélectifs;Comprimé;Comprimés dispersibles;Ne pas écraser ni croquer;;;A prendre à heure fixe, avec ou sans aliments mais de façon constante. PA cytotoxique. Eviter le jus de pamplemousse.;RCP;;Novartis 16-03-2022 : cf. RCP;18/04/2023
EXEMESTANE 25 mg (Aromasine);Inhibiteurs de l'aromatase;Comprimé;Non;Ne pas écraser ni croquer;;;PA tératogène. A prendre à heure fixe, de préférence après les repas.;Réponse laboratoire;Ecrasable selon HUG 03/2023;Pfizer 14-03-2023 : écrasement déconseillé car pas d'étude.;18/04/2023
EXTRAIT DE FEUILLES DE GINKGO BILOBA 40 mg (Tanakan);Autres médicaments contre la démence;Comprimé;Solution buvable;Écrasement possible;Goût désagréable;Prise possible avec de l’eau<br>Prise possible avec un jus d’orange<br>Prise possible avec du lait<br>Prise possible avec de la compote<br>Prise possible avec un yaourt<br>;A prendre pendant les repas.;Réponse laboratoire;;Ipsen 18-02-2022 : pas d'opposition au broyage hormis le goût amer, ni au mélange avec les boissons ou aliments. PA hydrosoluble, mais certains excipients sont insolubles.;18/04/2023
EXTRAIT DU FRUIT DE PALMIER DE FLORIDE 160 mg (Permixon);Autres médicaments de l'hypertrophie bénigne de la prostate;Gélule;Non;Ne pas ouvrir;Goût désagréable;;A prendre pendant les repas.;Réponse laboratoire;;Pierre Fabre 21-02-2022 : risque d'oxydation et de troubles digestifs si gélule ouverte.;18/04/2023
EXTRAIT PURIFIE DE PEPIN DE RAISIN 150 mg (Endotelon);Autres médicaments agissant sur les capillaires;Comprimé GR;Non;Ne pas écraser ni croquer;;;A prendre de préférence en dehors des repas.;Réponse laboratoire;;Cheplapharm 14-03-2022 : écrasement déconseillé car pas d'étude.;18/04/2023
EZETIMIBE 10 mg (Ezetrol);Autres agents réduisant les lipides sériques;Comprimé;Non;?;;;;;Ecrasable selon HUG 03/2023;En attente (Organon);18/04/2023
FAMCICLOVIR 125 et 500 mg (Oravir);Nucléosides et nucléotides sauf inhibiteurs de la transcriptase inverse ;Comprimé;Non;?;;;;;;En attente (Centre de Specialites Pharmaceutiques);18/04/2023
FEBUXOSTAT 80 et 120 mg (Adenuric);Uricosurique;Comprimé ;Non;Ne pas écraser ni croquer;;;Peut-être pris au cours ou en dehors des repas;Réponse laboratoire;Ecrasable selon HUG 03/2023;MENARINI 04-01-2024 : écrasement déconseillé car pas d'étude;05/01/2024
FELODIPINE LP 5 mg (Flodil);Dérivés de la dihydropyridine;Comprimé LP;Non;Ne pas écraser ni croquer;;;A prendre le matin en dehors des repas ou après un repas léger, pauvre en graisse et en sucre. Eviter le jus de pamplemousse.;RCP;;AstraZeneca 06-04-2022 : cf. RCP.;18/04/2023
FENOFIBRATE 145 et 160 mg (Lipanthyl);Fibrates;Comprimé;Non;Ne pas écraser ni croquer;;;;Notice patient;;;18/04/2023
FENOFIBRATE 67 et 200 mg (Lipanthyl micronisé);Fibrates;Gélule;Non;Ne pas ouvrir;;;A prendre pendant les repas.;RCP;Ouvrable selon HUG 03/2023;Viatris 17-02-2023 : cf. RCP;18/04/2023
FIDAXOMICINE 200 mg (Dificlir);Antibiotiques;Comprimé;Granulés pour suspension buvable;Ne pas écraser ni croquer;;;;RCP;Ecrasable selon HUG 03/2023;;18/04/2023
FINASTERIDE 5 mg (Chibro-Proscar);Inhibiteurs de la 5?-réductase;Comprimé;Non;Ne pas écraser ni croquer;;;Ne pas faire manipuler de comprimé cassé par une femme enceinte;RCP;;;18/04/2023
FINGOLIMOD 0,25 et 0,5 mg (Gilenya);Immunosuppresseurs sélectifs;Gélule;Non;Ne pas ouvrir;;;;RCP;;Novartis 16-03-2022 : cf. RCP;18/04/2023
FLECAINIDE 100 mg (Flecaine);Antiarythmiques, classe Ic;Comprimé sécable;Non;Ne pas écraser ni croquer;;;;Réponse laboratoire;;Viatris 17-02-2023 : écrasement déconseillé car pas d'étude.;18/04/2023
FLECAINIDE LP 50, 100, 150 et 200 mg (Flecaine LP);Antiarythmiques, classe Ic;Gélule LP;Non;Ne pas ouvrir;;;;Réponse laboratoire;;Viatris 17-02-2023 : écrasement déconseillé car pas d'étude.;18/04/2023
FLUBENDAZOLE 100 mg (Fluvermal);Dérivés du benzimidazole;Comprimé sécable;Suspension buvable;Écrasement possible;;Prise possible avec de l’eau<br>;Peut être croqué pendant les repas.;RCP;;;18/04/2023
FLUCONAZOLE 50, 100, 150 et 200 mg (Beagyne, Triflucan);Dérivés triazolés;Gélule;Poudre pour suspension buvable;Ne pas ouvrir;;;A prendre de préférence à heure fixe.;RCP;;Pfizer 04-08-2020 : ouverture déconseillée car hors-AMM. Une étude montre la possibilité d'ouvrir les gélules pour administration en SNG. Peu hydrosoluble.;18/04/2023
FLUCYTOSINE 500 mg (Ancotil);Autres antimycosiques à usage systémique;Comprimé sécable;;Écrasement possible;;Prise possible avec de l’eau<br>Prise immédiate après préparation<br>;PA cytotoxique. Possibilité de broyer les comprimés si administration immédiate.;Réponse laboratoire;;Viatris 17-02-2023 : prendre des précautions comme le port de gants, masque et lunettes de protection lors de la préparation et de l’administration. Il convient d’éviter l’exposition des femmes enceintes ou des femmes qui allaitent.;18/04/2023
FLUDROCORTISONE 50 µg (Flucortac);Minéralocorticoïdes;Comprimé sécable;Non;Écrasement possible;;Prise possible avec de l’eau<br>Prise possible avec un jus d’orange<br>Prise immédiate après préparation<br>;A dissoudre dans de l'eau ou du jus de fruit. Administration immédiate car PA sensible à l'humidité.;RCP;;HAC Pharma 22-02-2022 : cf RCP;18/04/2023
FLUINDIONE 20 mg (Previscan);Antivitamines K;Comprimé sécable;Non;Écrasement possible;;;A prendre de préférence le soir.;Réponse laboratoire;;Merck 07-05-2022 : Pas de données de stabilité après broyage, décsion du broyage laissée à l'apréciateur de l'utilisateur /!\ MTE;12/05/2025
FLUNARIZINE 10 mg (Sibelium);Autres antimigraineux;Comprimé sécable;Non;Ne pas écraser ni croquer;;;A prendre de préférence le soir (effet sédatif).;Réponse laboratoire;;Janssen 09-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
FLUOXETINE 20 mg (Prozac);Inhibiteurs sélectifs de la recapture de la sérotonine (ISRS);Gélule;Comprimés dispersibles, solution buvable;Ne pas ouvrir;;;;Notice patient;;;18/04/2023
FLURBIPROFENE 50 et 100 mg (Cebutid);Dérivés de l'acide propionique;Comprimé;Non;Ne pas écraser ni croquer;;;A prendre de préférence pendant les repas.;RCP;;;18/04/2023
FLURBIPROFENE LP 200 mg (Cebutid LP);Dérivés de l'acide propionique;Gélule LP;Non;Ouverture possible, ne pas écraser ni croquer;;Prise possible avec de l’eau<br>;A prendre de préférence pendant les repas.;RCP;;Almirall SAS France 09-05-2022 : écrasement déconseillé car pas d'étude d'efficacité, de biodisponibilité, de stabilité et de sécurité;18/04/2023
FLUVASTATINE 20 et 40 mg (génériques);Inhibiteurs de l'HMG-CoA reductase (statines);Gélule;Non;Ne pas ouvrir;;;A prendre matin et soir ou seulement le soir.;RCP;;;18/04/2023
FLUVASTATINE LP 80 mg (Lescol LP);Inhibiteurs de l'HMG-CoA reductase (statines);Comprimé LP;Non;Ne pas écraser ni croquer;;;;RCP;;Novartis 16-03-2022 : cf. RCP;18/04/2023
FLUVOXAMINE 50 et 100 mg (Floxyfral);Inhibiteurs sélectifs de la recapture de la sérotonine (ISRS);Comprimé sécable;Non;Ne pas écraser ni croquer;Goût désagréable;;;RCP;Ecrasable selon HUG 03/2023;Viatris 17-02-2023 : écrasement déconseillé car pas d'étude.;18/04/2023
FOSAMPRENAVIR 700 mg (Telzir);Inhibiteurs de protéase;Comprimé;"Suspension buvable
? Administration ?";Ne pas écraser ni croquer;;;La suspension buvable (mais pas les comprimés) doit être prise à jeun en dehors des repas chez l'adulte, et pendant les repas chez l'enfant ou l'adolescent.;Notice patient;;;18/04/2023
FOSINOPRIL / HYDROCHLOROTHIAZIDE 20/12,5 mg (génériques);Inhibiteurs de l'enzyme de conversion de l'angiotensine et diurétiques;Comprimé sécable;Non;Écrasement possible;Goût désagréable;Prise possible avec de l’eau<br>;;Réponse laboratoire;;Arrow 15-03-2022 : écrasement déconseillé, mais les études rapportent un écrasement possible.;18/04/2023
FOSINOPRIL 10 et 20 mg (génériques);Inhibiteurs de l'enzyme de conversion de l'angiotensine sans association;Comprimé sécable;Non;Ne pas écraser ni croquer;;Prise possible avec de l’eau<br>;;Réponse laboratoire;Ecrasable selon laboratoire;Arrow 15-03-2022 : écrasement déconseillé, mais les études rapportent un écrasement possible.;18/04/2023
FUMARATE FERREUX 66 mg (Fumafer);Préparations orales de fer bivalent;Comprimé;Solution buvable;Ne pas écraser ni croquer;Goût désagréable;;Horaire de la prise à adapter en fonction de la tolérance digestive.;Réponse laboratoire;;Cheplapharm 14-03-2022 : écrasement déconseillé car pas d'étude. Goût amer.;18/04/2023
FUROSEMIDE 20, 40, 500 mg (Lasilix faible, Lasilix, Lasilix special);Sulfamides non associés;Comprimé ou comprimé sécable;Solution buvable;Ne pas écraser ni croquer;;;;Réponse laboratoire;Ecrasable selon HUG 03/2023;Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
FUROSEMIDE LP 60 mg (Lasilix retard);Sulfamides non associés;Gélule LP;"? Non LP ?
Solution buvable";Ne pas écraser ni croquer;;;A prendre le matin avant le petit-déjeuner.;Réponse laboratoire;;Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
GABAPENTINE 100, 300 et 400 mg (Neurontin);Autres antiépileptiques;Gélule;Solution buvable (AAC);Ouverture possible;Goût désagréable;Prise possible avec de l’eau<br>Prise possible avec un jus d’orange<br>Prise possible avec du lait<br>Prise possible avec de la compote<br>Prise possible avec un yaourt<br>Prise immédiate après préparation<br>;Goût amer.;Réponse laboratoire;Ouvrable selon HUG 03/2023;Pfizer 04-08-2020 : ouvrable si administration immédiate. A mélanger à un aliment pour masquer l'amertume. Une étude indique que l'ouverture n'influe pas sur l'absorption.;18/04/2023
GABAPENTINE 600 et 800 mg (Neurontin);Autres antiépileptiques;Comprimé sécable;Gélules ouvrables, solution buvable (AAC);Ne pas écraser ni croquer;Goût désagréable;;;Réponse laboratoire;Ecrasable selon HUG 03/2023;En attente (Viatris);18/04/2023
GLIBENCLAMIDE 2,5 et 5 mg (génériques);Sulfonylurées;Comprimé sécable;Solution buvable (AAC);Ne pas écraser ni croquer;Goût désagréable;;A prendre au début des repas.;Réponse laboratoire;;Arrow 04-05-2023 : écrasement déconseillé car pas d'étude, mais possible selon des sources extérieures. Goût amer.;30/06/2023
GLICLAZIDE 80 mg (génériques);Sulfonylurées;Comprimé sécable;Non;?;;;;;Ecrasable selon HUG 03/2023;En attente (génériques);18/04/2023
GLICLAZIDE LM 30, 60 mg (Diamicron);Sulfonylurées;Comprimé LM ou comprimé sécable LM;Non;Ne pas écraser ni croquer;;;A prendre au petit-déjeuner. Ne pas croquer (risque d'hypoglycémie).;RCP;;Servier 28-02-2022 : cf. RCP;19/09/2023
GLIMEPIRIDE 1, 2, 3 et 4 mg (Amarel);Sulfonylurées;Comprimé;Non;Ne pas écraser ni croquer;;;A prendre au début du premier repas principal de la journée.;Notice patient;Ecrasable selon HUG 03/2023;Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
GLIPIZIDE LP 5 et 10 mg (Ozidia);Sulfonylurées;Comprimé LP;Non;Ne pas écraser ni croquer;;;A prendre pendant les repas, en général le petit-déjeuner.;RCP;;Pfizer 14-03-2023 : cf RCP.;18/04/2023
GRANISETRON 1 et 2 mg (Kytril);Antagonistes de la sérotonine (5-HT3);Comprimé;Non;Ne pas écraser ni croquer;;;;RCP;;;18/04/2023
HALOPERIDOL 1 et 5 mg (Haldol);Dérivés de la butyrophénone;Comprimé;Solution buvable;Ne pas écraser ni croquer;;;Eviter le jus de pamplemousse.;Thériaque 03/2023;;;18/04/2023
HYDROCHLOROTHIAZIDE 25 mg (Esidrex);Thiazidiques non associés ;Comprimé sécable;Non;Ne pas écraser ni croquer;;;;Réponse laboratoire;Ecrasable selon HUG 03/2023;Juvise Pharmaceuticals 31-03-2022 : écrasement déconseillé car pas d'étude.;18/04/2023
HYDROCORTISONE 10 mg ;Glucocorticoïdes;Comprimé sécable;Non;Écrasement possible;;Prise possible avec de la compote<br>Prise possible avec un yaourt<br>;Peut être mélangé à l'alimentation.;RCP;;;18/04/2023
HYDROMORPHONE LP 4, 8, 16 et 24 mg (Sophidone LP);Alcaloïdes naturels de l'opium;Gélule LP;Non;Ouverture possible, ne pas écraser ni croquer;;Prise possible avec de la compote<br>Prise possible avec un yaourt<br>Prise immédiate après préparation<br>;Peut être mélangé dans un aliment semi-solide (purée, confiture, compote, yaourt...). Ne pas dissoudre les granules pour maintenir l'enveloppe gastro-résistante. Administration immédiate.;RCP;;Mundipharma 03-08-2020 : cf. RCP;18/04/2023
HYDROQUINIDINE LP 300 mg (Serecor);Antiarythmiques, classe Ia;Gélule LP;Non;Ne pas ouvrir;;;;Notice patient;;Sanofi 23-03-2022 : ouverture déconseillée car pas d'étude;18/04/2023
HYDROXYCARBAMIDE 500 mg (Hydrea);Autres antinéoplasiques;Gélule;Non;Ouverture possible;;Prise possible avec de l’eau<br>Prise immédiate après préparation<br>;PA cytostatique : en cas d'ouverture porter des gants protecteurs, un masque et éviter toute inhalation ou contact avec la peau ou les muqueuses. Vider la gélule dans un verre d'eau et administrer immédiatement. ;RCP;;;18/04/2023
HYDROXYCHLOROQUINE 200 mg (Plaquenil);Autres préparations dermatologiques;Comprimé;Non;Ne pas écraser ni croquer;Goût désagréable;;A prendre après les repas.;Réponse laboratoire;Ecrasable selon HUG 03/2023;Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
HYDROXYZINE 25 mg (Atarax);Dérivés du diphénylméthane;Comprimé ou comprimé sécable;Sirop;Ne pas écraser ni croquer;Goût désagréable;;Ne pas laisser fondre sous la langue.;Réponse laboratoire;Ecrasable selon HUG 03/2023;UCB Pharma 24-02-2022 : écrasement déconseillé car pas d'étude. Goût amer.;18/04/2023
IBUPROFENE / PSEUDOEPHEDRINE 200/30 mg (Rhinadvil);Sympathomimétiques;Comprimé;Non;Ne pas écraser ni croquer;Goût désagréable;;A prendre de préférence pendant les repas. L'écrasement majore les effets indésirables.;RCP;;GSK 17-02-2022 : non-écrasable car pas d'étude. Goût amer.;18/04/2023
IBUPROFENE 100, 200 et 400 mg (Advil, Nurofen, etc.);Dérivés de l'acide propionique;Comprimé;Comprimés orodispersibles, granulés pour suspension buvable;Ne pas écraser ni croquer;Goût désagréable;;A prendre de préférence pendant les repas.;RCP;;GSK 17-02-2022 : non-écrasable car pas d'étude. Goût amer.;18/04/2023
IBUPROFENE 200 et 400 mg (Advilcaps, Nurofencaps);Dérivés de l'acide propionique;Capsule molle;Comprimés orodispersibles, granulés pour suspension buvable;Ne pas ouvrir;Goût désagréable;;A prendre de préférence pendant les repas. L'écrasement majore les effets indésirables.;RCP;;GSK 17-02-2022 : non-écrasable car pas d'étude. Goût amer.;18/04/2023
IMATINIB 100 et 400 mg (Glivec);Inhibiteurs de protéine kinase;Comprimé ;Non;Délitement possible;;Prise possible avec de l’eau<br>Prise possible avec un jus d’orange<br>Prise immédiate après préparation<br>;PA cytotoxique. Peut être dispersé sans l'écraser dans un verre d'eau plate ou de jus de pomme (environ 50 mL pour un comprimé de 100 mg, ou 200 mL pour celui de 400 mg). Administration immédiate.;RCP;;;18/04/2023
IMIPRAMINE 10 et 25 mg (Tofranil);Inhibiteurs non-sélectifs de la recapture des monoamines;Comprimé;Non;?;;;;;;En attente (Centre de Specialites Pharmaceutiques);18/04/2023
INDAPAMIDE 2,5 mg (Fludex);Sulfamides non associés;Comprimé;Non;Ne pas écraser ni croquer;;;A prendre de préférence le matin.;Réponse laboratoire;;Servier 28-02-2022 : broyage déconseillé car pas d'étude;18/04/2023
INDAPAMIDE LP 1,5 mg (Fludex LP);Sulfamides non associés;Comprimé LP;Non;Ne pas écraser ni croquer;;;A prendre de préférence le matin.;RCP;;;18/04/2023
INDOMETACINE 25 mg (Indocid);Dérivés de l'acide acétique et apparentés;Gélule;Suppositoires, suspension buvable (AAC);Ouverture possible;;Prise possible avec de l’eau<br>Prise immédiate après préparation<br>;A prendre de préférence pendant les repas pour améliorer la tolérance digestive.;Réponse laboratoire;;HAC Pharma 22-02-2022 : ouverture possible si besoin, avec administration immédiate et protection appropriée de l'opérateur;18/04/2023
INDOMETACINE 75 mg (Chrono-indocid);Dérivés de l'acide acétique et apparentés;Gélule LP;"? Non LP ?
Suppositoires, suspension buvable (AAC)";Ne pas ouvrir;;Prise possible avec de l’eau<br>Prise immédiate après préparation<br>;A prendre de préférence pendant les repas pour améliorer la tolérance digestive.;Notice patient;Ouvrable selon laboratoire;HAC Pharma 22-02-2022 : ouverture possible si nécessaire uniquement, avec administration immédiate et protection appropriée de l'opérateur;18/04/2023
"IRBESARTAN / HYDROCHLOROTHIAZIDE 150/12,5 ; 300/12,5 et 300/25 mg (Coaprovel)";Antagonistes de l'angiotensine II et diurétiques;Comprimé;Non;Ne pas écraser ni croquer;Goût désagréable;;A prendre à heure fixe.;Réponse laboratoire;Ecrasable selon HUG 03/2023;Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
IRBESARTAN 75, 150 et 300 mg (Aprovel);Antagonistes de l'angiotensine II non associés;Comprimé;Non;Ne pas écraser ni croquer;Goût désagréable;;A prendre à heure fixe.;Réponse laboratoire;Ecrasable selon HUG 03/2023;Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
ISAVUCONAZOLE 100mg (Cresemba);Dérivés triazolés et tétrazolés;Gélule;Non;Ne pas ouvrir;;;A prendre à heure fixe pendant ou en dehors du repas.;RCP;Ouvrable selon HUG 03/2023;Pfizer 28-06-2024 : Plusieurs études montrent que l'administration par sonde après ouverture des gélules atteint des concentrations équivalentes à une administration intacte des gélules.;02/07/2024
ISONIAZIDE / PYRAZINAMIDE / RIFAMPICINE 50/300/120 mg (Rifater);Antituberculeux en associations;Comprimé;Non;Ne pas écraser ni croquer;Goût désagréable;;A prendre de préférence à jeun (? 30 min avant les repas).;Réponse laboratoire;Ecrasable selon HUG 03/2023;Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
ISONIAZIDE / RIFAMPICINE 150/300 mg (Rifinah);Antituberculeux en associations;Comprimé;Non;Ne pas écraser ni croquer;;;A prendre le matin à jeun (? 30 min avant les repas).;Réponse laboratoire;;Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
ISONIAZIDE 50, 150mg (Rimifon);Hydrazides;Comprimé;;Ne pas écraser ni croquer;;;Avaler les comprimés avec un verre d’eau, en une prise quotidienne, le matin à jeun, en respectant une durée de 30 minutes avant la prise d’aliments;Réponse laboratoire;;Eurodep Pharma 26/06/2025 : pas de donnés concernant la possibilité d’écraser les comprimés. ;26/06/2025
